                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                             co_core_mass                             fe_core_mass                   neutron_rich_core_mass                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2                             time_seconds                           version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                     msun                                     rsun                                     lsun 
                                      71                                      785                  9.1000000000000003E-001                  2.0000000000000000E-002                  6.6456603304526396E+009                  1.8168670022363207E+008                  5.4929209009482338E+003                  6.5334124681330674E-001                  8.9251702482547790E-001                 -1.4012807493385564E+000                  3.4697600529346123E-001                  1.3240647682073144E-005                  6.3246287180611638E-001                  1.7601609297995311E-005                  5.1768243918560415E-003                  9.1912099984554890E-003                  2.0850244238750397E-003                  9.0999999999999992E-001                  0.0000000000000000E+000                  6.0118504615779733E-001                  8.8820097845020097E-004                  2.8961187419434054E-001                  2.4456626113618990E-003                  1.7275974512508717E-003                  8.5339745164504845E-003                  1.8973722257262847E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.8462890113299945E+003                  3.3443144614485539E+007                  1.3928402721220415E+010                  6.5323782965159416E-001                  6.5323782965159449E-001                  3.6772935202152459E-045                  1.4985580267571552E-002                  5.0000000000000000E+001                  1.0000000000000000E+003                  2.0972109044429222E+017                               "r21.12.1"                               "gfortran"                                 "10.2.0"                    "x86_64-linux-21.4.1"                                 "CRMATH"                               "20220412"                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals                                    gradT                                    grada                                    gradr                                    gradL                               luminosity                                       pp                                      cno                                       mu 
                                       1                  9.0999999999999992E-001                 -4.9383490938747950E-002                  3.7400342024752145E+000                 -6.7053055934246206E+000                  4.8384726781289276E+000                  6.9999999999999996E-001                  2.8000000000000003E-001                  2.0000000000000018E-002                  1.2526801126611470E-001                  3.9048347450829890E-001                  1.2526801126611470E-001                  3.9048347450829890E-001                  6.5334124681330674E-001                  2.8926326633531077E-026                  0.0000000000000000E+000                  1.3064872314129810E+000 
                                       2                  9.0999999999954495E-001                 -4.9384153586614715E-002                  3.7408436052665985E+000                 -6.6997151707952067E+000                  4.8448737731410452E+000                  6.9999999999999996E-001                  2.8000000000000003E-001                  2.0000000000000018E-002                  1.2610079649053457E-001                  3.9046268796990968E-001                  1.2610079649053457E-001                  3.9047753549733055E-001                  6.5334124681330696E-001                  2.9301246608792000E-026                  0.0000000000000000E+000                  1.3064830979877546E+000 
                                       3                  9.0999999999840753E-001                 -4.9385789031216445E-002                  3.7420141371859925E+000                 -6.6919037590081274E+000                  4.8538577050044438E+000                  7.0000000000000018E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  1.3029628559116474E-001                  3.9043107959392942E-001                  1.3029628559116474E-001                  3.9044688378191961E-001                  6.5334124681330696E-001                  2.9833271009766258E-026                  0.0000000000000000E+000                  1.3064766935314167E+000 
                                       4                  9.0999999999726988E-001                 -4.9387395340941165E-002                  3.7437895381503066E+000                 -6.6805454852950445E+000                  4.8669946648967599E+000                  6.9999999999999996E-001                  2.8000000000000003E-001                  2.0000000000000018E-002                  1.3456596280976238E-001                  3.9037794792004632E-001                  1.3456596280976238E-001                  3.9041336903596835E-001                  6.5334124681330685E-001                  3.0624153458119670E-026                  0.0000000000000000E+000                  1.3064662234884097E+000 
                                       5                  9.0999999999499492E-001                 -4.9390525079888663E-002                  3.7461390693827767E+000                 -6.6664985549999400E+000                  4.8833960090709363E+000                  6.9999999999999996E-001                  2.8000000000000003E-001                  2.0000000000000018E-002                  1.4334378432392189E-001                  3.9029737350133137E-001                  1.4334378432392189E-001                  3.9033636112329018E-001                  6.5334124681330696E-001                  3.1631313620956418E-026                  0.0000000000000000E+000                  1.3064508637463348E+000 
                                       6                  9.0999999999286207E-001                 -4.9393365884840397E-002                  3.7484633421012998E+000                 -6.6535242850541332E+000                  4.8986998731692779E+000                  6.9999999999999996E-001                  2.8000000000000003E-001                  2.0000000000000018E-002                  1.5189024574752755E-001                  3.9020293394745076E-001                  1.5189024574752755E-001                  3.9025015372439104E-001                  6.5334124681330696E-001                  3.2590972441529797E-026                  0.0000000000000000E+000                  1.3064342878077593E+000 
                                       7                  9.0999999999072922E-001                 -4.9396123131020868E-002                  3.7512359841838934E+000                 -6.6391048905528303E+000                  4.9158988103026493E+000                  6.9999999688443337E-001                  2.8000000311556678E-001                  1.9999999999999796E-002                  1.6084793720441892E-001                  3.9006781202617830E-001                  1.6084793720441892E-001                  3.9014502455261968E-001                  6.5334124681330696E-001                  3.3691727631638351E-026                  0.0000000000000000E+000                  1.3064129593059175E+000 
                                       8                  9.0999999998788550E-001                 -4.9399679479876328E-002                  3.7545076525005832E+000                 -6.6235283831249356E+000                  4.9347558730314836E+000                  6.9999999369488586E-001                  2.8000000630511440E-001                  1.9999999999999796E-002                  1.7352473595791593E-001                  3.8987336383912208E-001                  1.7352473595791593E-001                  3.8997058793265016E-001                  6.5334124681330696E-001                  3.4922635114176811E-026                  0.0000000000000000E+000                  1.3063856927263529E+000 
                                       9                  9.0999999998504189E-001                 -4.9403110619015533E-002                  3.7570453351931685E+000                 -6.6124488526682166E+000                  4.9483804961081628E+000                  6.9999999362090493E-001                  2.8000000637909533E-001                  1.9999999999999796E-002                  1.8706353279523805E-001                  3.8969362428128057E-001                  1.8706353279523805E-001                  3.8975353746722774E-001                  6.5334124681330696E-001                  3.5825458090219862E-026                  0.0000000000000000E+000                  1.3063630834295619E+000 
                                      10                  9.0999999998361991E-001                 -4.9404783004768332E-002                  3.7596218837746838E+000                 -6.6018228866564330E+000                  4.9615908593460860E+000                  6.9999999312677219E-001                  2.8000000687322801E-001                  1.9999999999999796E-002                  1.9425771060309918E-001                  3.8948236815639525E-001                  1.9425771060309918E-001                  3.8962320557298546E-001                  6.5334124681330696E-001                  3.6713245830801253E-026                  0.0000000000000000E+000                  1.3063392071476900E+000 
                                      11                  9.0999999998077630E-001                 -4.9408046987805682E-002                  3.7627423772565258E+000                 -6.5900322408328318E+000                  4.9765120746885323E+000                  6.9999999279825365E-001                  2.8000000720174656E-001                  1.9999999999999796E-002                  2.0955666970748896E-001                  3.8918635220916009E-001                  2.0955666970748896E-001                  3.8931321618654657E-001                  6.5334124681330696E-001                  3.7724120202538889E-026                  0.0000000000000000E+000                  1.3063086713357148E+000 
